Date,Treatment,Tray,Family,Hatch,Population,Days to Hatch,Egg Weight,alt_treatments
10/16/15,MIROC,3,P1,1,Pedro,65,0.112,WI_MIROC
10/18/15,MIROC,2,P1,1,Pedro,67,0.112,WI_MIROC
10/19/15,MIROC,3,P1,1,Pedro,68,0.112,WI_MIROC
10/19/15,AVG,3,P1,1,Pedro,68,0.112,WI_AVG
10/20/15,MIROC,3,P1,3,Pedro,69,0.112,WI_MIROC
10/20/15,MIROC,4,P1,3,Pedro,69,0.112,WI_MIROC
10/20/15,MIROC,1,P1,2,Pedro,69,0.112,WI_MIROC
10/20/15,MIROC,2,P1,1,Pedro,69,0.112,WI_MIROC
10/20/15,AVG,4,P1,1,Pedro,69,0.112,WI_AVG
10/21/15,MIROC,3,P1,13,Pedro,70,0.112,WI_MIROC
10/21/15,MIROC,4,P1,10,Pedro,70,0.112,WI_MIROC
10/21/15,MIROC,2,P1,7,Pedro,70,0.112,WI_MIROC
10/21/15,MIROC,1,P1,1,Pedro,70,0.112,WI_MIROC
10/21/15,AVG,2,P1,1,Pedro,70,0.112,WI_AVG
10/22/15,MIROC,2,P1,20,Pedro,71,0.112,WI_MIROC
10/22/15,MIROC,1,P1,15,Pedro,71,0.112,WI_MIROC
10/22/15,MIROC,3,P1,13,Pedro,71,0.112,WI_MIROC
10/22/15,MIROC,4,P1,10,Pedro,71,0.112,WI_MIROC
10/22/15,AVG,1,P1,1,Pedro,71,0.112,WI_AVG
10/22/15,AVG,2,P1,1,Pedro,71,0.112,WI_AVG
10/23/15,MIROC,4,P1,19,Pedro,72,0.112,WI_MIROC
10/23/15,MIROC,1,P1,15,Pedro,72,0.112,WI_MIROC
10/23/15,MIROC,3,P1,11,Pedro,72,0.112,WI_MIROC
10/23/15,MIROC,2,P1,10,Pedro,72,0.112,WI_MIROC
10/23/15,AVG,2,P1,3,Pedro,72,0.112,WI_AVG
10/24/15,MIROC,4,P1,11,Pedro,73,0.112,WI_MIROC
10/24/15,MIROC,2,P1,10,Pedro,73,0.112,WI_MIROC
10/24/15,MIROC,1,P1,9,Pedro,73,0.112,WI_MIROC
10/24/15,MIROC,3,P1,8,Pedro,73,0.112,WI_MIROC
10/24/15,AVG,4,P1,5,Pedro,73,0.112,WI_AVG
10/25/15,MIROC,3,P1,6,Pedro,74,0.112,WI_MIROC
10/25/15,MIROC,2,P1,5,Pedro,74,0.112,WI_MIROC
10/25/15,AVG,2,P1,5,Pedro,74,0.112,WI_AVG
10/25/15,MIROC,1,P1,3,Pedro,74,0.112,WI_MIROC
10/25/15,MIROC,4,P1,2,Pedro,74,0.112,WI_MIROC
10/26/15,MIROC,1,P1,6,Pedro,75,0.112,WI_MIROC
10/26/15,AVG,3,P1,6,Pedro,75,0.112,WI_AVG
10/26/15,AVG,4,P1,5,Pedro,75,0.112,WI_AVG
10/26/15,AVG,2,P1,4,Pedro,75,0.112,WI_AVG
10/26/15,MIROC,3,P1,3,Pedro,75,0.112,WI_MIROC
10/26/15,MIROC,4,P1,2,Pedro,75,0.112,WI_MIROC
10/26/15,AVG,1,P1,1,Pedro,75,0.112,WI_AVG
10/27/15,AVG,4,P1,6,Pedro,76,0.112,WI_AVG
10/27/15,AVG,2,P1,5,Pedro,76,0.112,WI_AVG
10/27/15,MIROC,4,P1,5,Pedro,76,0.112,WI_MIROC
10/27/15,AVG,3,P1,4,Pedro,76,0.112,WI_AVG
10/27/15,MIROC,1,P1,2,Pedro,76,0.112,WI_MIROC
10/27/15,AVG,1,P1,2,Pedro,76,0.112,WI_AVG
10/27/15,MIROC,3,P1,1,Pedro,76,0.112,WI_MIROC
10/28/15,AVG,3,P1,8,Pedro,77,0.112,WI_AVG
10/28/15,AVG,1,P1,4,Pedro,77,0.112,WI_AVG
10/28/15,AVG,2,P1,4,Pedro,77,0.112,WI_AVG
10/28/15,AVG,4,P1,3,Pedro,77,0.112,WI_AVG
10/28/15,MIROC,4,P1,2,Pedro,77,0.112,WI_MIROC
10/29/15,AVG,2,P1,7,Pedro,78,0.112,WI_AVG
10/29/15,AVG,3,P1,7,Pedro,78,0.112,WI_AVG
10/29/15,AVG,1,P1,2,Pedro,78,0.112,WI_AVG
10/29/15,AVG,4,P1,2,Pedro,78,0.112,WI_AVG
10/29/15,MIROC,1,P1,1,Pedro,78,0.112,WI_MIROC
10/29/15,MIROC,3,P1,1,Pedro,78,0.112,WI_MIROC
10/30/15,AVG,4,P1,16,Pedro,79,0.112,WI_AVG
10/30/15,AVG,3,P1,13,Pedro,79,0.112,WI_AVG
10/30/15,AVG,2,P1,11,Pedro,79,0.112,WI_AVG
10/30/15,AVG,1,P1,6,Pedro,79,0.112,WI_AVG
10/31/15,AVG,2,P1,17,Pedro,80,0.112,WI_AVG
10/31/15,AVG,4,P1,11,Pedro,80,0.112,WI_AVG
10/31/15,AVG,3,P1,9,Pedro,80,0.112,WI_AVG
10/31/15,AVG,1,P1,5,Pedro,80,0.112,WI_AVG
10/31/15,MIROC,3,P1,1,Pedro,80,0.112,WI_MIROC
11/1/15,AVG,2,P1,14,Pedro,81,0.112,WI_AVG
11/1/15,AVG,4,P1,12,Pedro,81,0.112,WI_AVG
11/1/15,AVG,1,P1,6,Pedro,81,0.112,WI_AVG
11/1/15,AVG,3,P1,6,Pedro,81,0.112,WI_AVG
11/2/15,AVG,4,P1,12,Pedro,82,0.112,WI_AVG
11/2/15,AVG,1,P1,9,Pedro,82,0.112,WI_AVG
11/2/15,AVG,2,P1,8,Pedro,82,0.112,WI_AVG
11/2/15,AVG,3,P1,4,Pedro,82,0.112,WI_AVG
11/3/15,AVG,1,P1,10,Pedro,83,0.112,WI_AVG
11/3/15,AVG,4,P1,5,Pedro,83,0.112,WI_AVG
11/3/15,AVG,2,P1,4,Pedro,83,0.112,WI_AVG
11/3/15,AVG,3,P1,4,Pedro,83,0.112,WI_AVG
11/4/15,AVG,4,P1,8,Pedro,84,0.112,WI_AVG
